Date,Close
2017-01-03 16:00:00,29.04
2017-01-04 16:00:00,29.01
2017-01-05 16:00:00,29.15
2017-01-06 16:00:00,29.48
2017-01-09 16:00:00,29.75
2017-01-10 16:00:00,29.78
2017-01-11 16:00:00,29.94
2017-01-12 16:00:00,29.81
2017-01-13 16:00:00,29.76
2017-01-17 16:00:00,30
2017-01-18 16:00:00,30
2017-01-19 16:00:00,29.95
2017-01-20 16:00:00,30
2017-01-23 16:00:00,30.02
2017-01-24 16:00:00,29.99
2017-01-25 16:00:00,30.47
2017-01-26 16:00:00,30.49
2017-01-27 16:00:00,30.49
2017-01-30 16:00:00,30.41
2017-01-31 16:00:00,30.34
2017-02-01 16:00:00,32.19
2017-02-02 16:00:00,32.13
2017-02-03 16:00:00,32.27
2017-02-06 16:00:00,32.57
2017-02-07 16:00:00,32.88
2017-02-08 16:00:00,33.01
2017-02-09 16:00:00,33.1
2017-02-10 16:00:00,33.03
2017-02-13 16:00:00,33.32
2017-02-14 16:00:00,33.76
2017-02-15 16:00:00,33.88
2017-02-16 16:00:00,33.84
2017-02-17 16:00:00,33.93
2017-02-21 16:00:00,34.17
2017-02-22 16:00:00,34.28
2017-02-23 16:00:00,34.13
2017-02-24 16:00:00,34.17
2017-02-27 16:00:00,34.23
2017-02-28 16:00:00,34.25
2017-03-01 16:00:00,34.95
2017-03-02 16:00:00,34.74
2017-03-03 16:00:00,34.95
2017-03-06 16:00:00,34.84
2017-03-07 16:00:00,34.88
2017-03-08 16:00:00,34.75
2017-03-09 16:00:00,34.67
2017-03-10 16:00:00,34.78
2017-03-13 16:00:00,34.8
2017-03-14 16:00:00,34.75
2017-03-15 16:00:00,35.12
2017-03-16 16:00:00,35.17
2017-03-17 16:00:00,35
2017-03-20 16:00:00,35.37
2017-03-21 16:00:00,34.96
2017-03-22 16:00:00,35.35
2017-03-23 16:00:00,35.23
2017-03-24 16:00:00,35.16
2017-03-27 16:00:00,35.22
2017-03-28 16:00:00,35.95
2017-03-29 16:00:00,36.03
2017-03-30 16:00:00,35.98
2017-03-31 16:00:00,35.92
2017-04-03 16:00:00,35.92
2017-04-04 16:00:00,36.19
2017-04-05 16:00:00,36.01
2017-04-06 16:00:00,35.92
2017-04-07 16:00:00,35.84
2017-04-10 16:00:00,35.79
2017-04-11 16:00:00,35.41
2017-04-12 16:00:00,35.45
2017-04-13 16:00:00,35.26
2017-04-17 16:00:00,35.46
2017-04-18 16:00:00,35.3
2017-04-19 16:00:00,35.17
2017-04-20 16:00:00,35.61
2017-04-21 16:00:00,35.57
2017-04-24 16:00:00,35.91
2017-04-25 16:00:00,36.13
2017-04-26 16:00:00,35.92
2017-04-27 16:00:00,35.95
2017-04-28 16:00:00,35.91
2017-05-01 16:00:00,36.65
2017-05-02 16:00:00,36.88
2017-05-03 16:00:00,36.77
2017-05-04 16:00:00,36.63
2017-05-05 16:00:00,37.24
2017-05-08 16:00:00,38.25
2017-05-09 16:00:00,38.5
2017-05-10 16:00:00,38.32
2017-05-11 16:00:00,38.49
2017-05-12 16:00:00,39.03
2017-05-15 16:00:00,38.92
2017-05-16 16:00:00,38.87
2017-05-17 16:00:00,37.56
2017-05-18 16:00:00,38.14
2017-05-19 16:00:00,38.27
2017-05-22 16:00:00,38.5
2017-05-23 16:00:00,38.45
2017-05-24 16:00:00,38.34
2017-05-25 16:00:00,38.47
2017-05-26 16:00:00,38.4
2017-05-30 16:00:00,38.42
2017-05-31 16:00:00,38.19
2017-06-01 16:00:00,38.3
2017-06-02 16:00:00,38.86
2017-06-05 16:00:00,38.48
2017-06-06 16:00:00,38.61
