Date,Close
2017-01-03 16:00:00,127.49
2017-01-04 16:00:00,129.41
2017-01-05 16:00:00,131.81
2017-01-06 16:00:00,131.07
2017-01-09 16:00:00,130.95
2017-01-10 16:00:00,129.89
2017-01-11 16:00:00,130.5
2017-01-12 16:00:00,129.18
2017-01-13 16:00:00,133.7
2017-01-17 16:00:00,132.89
2017-01-18 16:00:00,133.26
2017-01-19 16:00:00,138.41
2017-01-20 16:00:00,138.6
2017-01-23 16:00:00,137.39
2017-01-24 16:00:00,140.11
2017-01-25 16:00:00,139.52
2017-01-26 16:00:00,138.96
2017-01-27 16:00:00,142.45
2017-01-30 16:00:00,141.22
2017-01-31 16:00:00,140.71
2017-02-01 16:00:00,140.78
2017-02-02 16:00:00,139.2
2017-02-03 16:00:00,140.25
2017-02-06 16:00:00,140.97
2017-02-07 16:00:00,144
2017-02-08 16:00:00,144.74
2017-02-09 16:00:00,144.14
2017-02-10 16:00:00,144.82
2017-02-13 16:00:00,143.2
2017-02-14 16:00:00,140.82
2017-02-15 16:00:00,142.27
2017-02-16 16:00:00,142.01
2017-02-17 16:00:00,142.22
2017-02-21 16:00:00,142.6
2017-02-22 16:00:00,143.86
2017-02-23 16:00:00,142.78
2017-02-24 16:00:00,143.25
2017-02-27 16:00:00,143.41
2017-02-28 16:00:00,142.13
2017-03-01 16:00:00,142.65
2017-03-02 16:00:00,139.53
2017-03-03 16:00:00,139.14
2017-03-06 16:00:00,141.94
2017-03-07 16:00:00,141.43
2017-03-08 16:00:00,140.32
2017-03-09 16:00:00,140.53
2017-03-10 16:00:00,140.89
2017-03-13 16:00:00,143.52
2017-03-14 16:00:00,143.19
2017-03-15 16:00:00,145.25
2017-03-16 16:00:00,144.39
2017-03-17 16:00:00,145.11
2017-03-20 16:00:00,145.83
2017-03-21 16:00:00,142.42
2017-03-22 16:00:00,142.65
2017-03-23 16:00:00,141.84
2017-03-24 16:00:00,142.02
2017-03-27 16:00:00,144.06
2017-03-28 16:00:00,145.17
2017-03-29 16:00:00,146.47
2017-03-30 16:00:00,148.06
2017-03-31 16:00:00,147.81
2017-04-03 16:00:00,146.92
2017-04-04 16:00:00,145.5
2017-04-05 16:00:00,143.62
2017-04-06 16:00:00,143.74
2017-04-07 16:00:00,143.11
2017-04-10 16:00:00,143.85
2017-04-11 16:00:00,144.35
2017-04-12 16:00:00,143.83
2017-04-13 16:00:00,142.92
2017-04-17 16:00:00,147.25
2017-04-18 16:00:00,143.36
2017-04-19 16:00:00,139.76
2017-04-20 16:00:00,141.18
2017-04-21 16:00:00,142.87
2017-04-24 16:00:00,143.83
2017-04-25 16:00:00,152.16
2017-04-26 16:00:00,150.17
2017-04-27 16:00:00,153.08
2017-04-28 16:00:00,152.2
2017-05-01 16:00:00,155.35
2017-05-02 16:00:00,156.45
2017-05-03 16:00:00,155.59
2017-05-04 16:00:00,157.25
2017-05-05 16:00:00,156.6
2017-05-08 16:00:00,156.38
2017-05-09 16:00:00,157.46
2017-05-10 16:00:00,160.28
2017-05-11 16:00:00,158.54
2017-05-12 16:00:00,160.81
2017-05-15 16:00:00,160.02
2017-05-16 16:00:00,159.41
2017-05-17 16:00:00,153.2
2017-05-18 16:00:00,155.7
2017-05-19 16:00:00,157.02
2017-05-22 16:00:00,157.16
2017-05-23 16:00:00,157.95
2017-05-24 16:00:00,157.75
2017-05-25 16:00:00,163.05
2017-05-26 16:00:00,162.43
2017-05-30 16:00:00,163.22
2017-05-31 16:00:00,163.07
2017-06-01 16:00:00,162.99
2017-06-02 16:00:00,165.18
2017-06-05 16:00:00,165.06
2017-06-06 16:00:00,165.17
2017-06-07 16:00:00,165.61
2017-06-08 16:00:00,165.88
2017-06-09 16:00:00,158.03
2017-06-12 16:00:00,151.44
2017-06-13 16:00:00,152.72
2017-06-14 16:00:00,152.2
2017-06-15 16:00:00,151.76
2017-06-16 16:00:00,152.38
2017-06-19 16:00:00,153.4
2017-06-20 16:00:00,152.05
2017-06-21 16:00:00,155.03
2017-06-22 16:00:00,154.89
2017-06-23 16:00:00,158.02
2017-06-26 16:00:00,157.5
2017-06-27 16:00:00,151.03
